class_code,assess_ratio,loa_2022,class_desc,improvement_ind,vacant_ind,land,comparable_props,building type,Alea_cat,incent_prop,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,last2dig,used_in2021
516,0.25,0.25,Non-fireproof hotel or rooming house (apartment hotel),0,0,0,516,Hotel,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,16,
517,0.25,0.25,One-story commercial building,0,0,0,517,Commercial(1floor),Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,17,
522,0.25,0.25,"One-story, non-fireproof public garage",0,0,0,,Garage,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,22,
523,0.25,0.25,Gasoline station,0,0,0,523,Gas station,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,23,
526,0.25,0.25,Commercial greenhouse,0,0,0,526,Greenhouse,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,26,
527,0.25,0.25,Theatre,0,0,0,527,Theatre,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,27,
528,0.25,0.25,Bank building,0,0,0,528,Bank,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,28,
529,0.25,0.25,Motel,0,0,0,529,Motel,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,29,
530,0.25,0.25,Supermarket,0,0,0,530,Supermarket,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,30,
531,0.25,0.25,Shopping center,0,0,0,531,Shopping Center,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,31,
532,0.25,0.25,Bowling alley,0,0,0,532,Bowling,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,32,
533,0.25,0.25,Quonset hut or butler type building,0,0,0,533,Quonset hut,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,33,
535,0.25,0.25,Golf course improvement,1,0,0,535,Golf Course,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,35,
550,0.25,0.25,Industrial land,0,0,1,550,Ind. Land,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,50,
580,0.25,0.25,Industrial minor improvement,1,0,0,580,Ind. Minor Imp.,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,80,
581,0.25,0.25,Garage used in conjunction with industrial improvement,1,0,0,581,Garage,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,81,
583,0.25,0.25,Industrial quonset hut or butler type building,0,0,0,583,Quonset hut,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,83,
587,0.25,0.25,Special industrial improvement,1,0,0,587,Ind. Improvement,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,87,
589,0.25,0.25,Industrial condominium unit,0,0,0,589,Ind. Condo,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,89,
590,0.25,0.25,Commercial minor improvement,1,0,0,500,Com. Improvement,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,90,
591,0.25,0.25,Commercial building over three stories,0,0,0,591,Commercial(3+),Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,91,
592,0.25,0.25,Two-or-three-story building containing part or all retail and/or commercial space,0,0,0,592,Commercial(2-3),Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,92,
593,0.25,0.25,Industrial building,0,0,0,593,Industrial,Industrial,Non-Incentive,,NonRes,5,5B,Industrial,25%,93,
597,0.25,0.25,Special commercial structure,0,0,0,597,Special Commercial,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,97,
599,0.25,0.25,Commercial condominium unit,0,0,0,599,Com. Condo,Commercial,Non-Incentive,,NonRes,5,5A,Commercial,25%,99,
637,0.1,0.1,Industrial Brownfield land,0,0,1,550b,Ind. Brownfield,Industrial,Incentive,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,37,
638,0.1,0.1,Industrial Brownfield,0,0,0,550b,Ind. Brownfield,Industrial,Incentive,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,38,
650,0.1,0.2,Industrial land,0,0,1,550,Ind. Land,Industrial,Incentive,Land,NonRes,6,6A,Industrial Incentive,,50,
651,0.1,0.1,Industrial land,0,0,1,550,Ind. Land,Industrial,Incentive,Land,NonRes,6,6B,Industrial Incentive,12 year reduction,51,
654,0.1,0.1,Other industrial Brownfield minor improvements,1,0,0,,Ind. Brown. Improv,Industrial,Incentive,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,54,
655,0.1,0,Garage used in conjunction with industrial Brownfield incentive improvement,1,0,0,,Garage,Industrial,Incentive,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,55,
663,0.1,0.1,Industrial building,0,0,0,593,Industrial,Industrial,Incentive,,NonRes,6,6B,Industrial Incentive,,63,
666,0.1,0,Industrial Brownfield quonset hut or butler type building,0,0,0,583b,Ind. Brownfield,Industrial,Incentive,Remediation Incentive,NonRes,6,6C,Industrial Brownfield,,66,not used yet
