class_code,class_desc,Alea_cat,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,incent_nonincent,groups_5,hybrid_groups
670,Industrial minor improvement,Industrial,,NonRes,6,6B,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
671,Garage used in conjunction with industrial incentive improvement,Industrial,,NonRes,6,6B,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
673,Industrial quonset hut or butler type building,Industrial,,NonRes,6,6B,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
677,Special industrial improvement,Industrial,,NonRes,6,6B,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
679,Industrial condominium unit,Industrial,,NonRes,6,6B,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
680,Industrial minor improvement,Industrial,,NonRes,6,6A,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
681,Garage used in conjunction with industrial incentive improvement,Industrial,,NonRes,6,6A,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
683,Industrial quonset hut or butler type building,Industrial,,NonRes,6,6A,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
687,Special industrial improvement,Industrial,,NonRes,6,6A,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
689,Industrial condominium unit,Industrial,,NonRes,6,6A,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
693,Industrial building,Industrial,,NonRes,6,6A,Industrial Incentive,,Incentive Classes,Incentive Class,Industrial
700,Commercial incentive land,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
701,Garage used in conjunction with Commercial Incentive improvement,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
716,Non-Fireproof hotel or rooming house (Apartment hotel),Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
717,One-story commercial use building,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
722,"Garage, service station",Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
723,"Gasoline station, with /without bays, store",Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
726,Commercial greenhouse,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
727,Theatre,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
728,Bank building,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
729,Motel,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
730,Supermarket,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
731,Shopping center,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
732,Bowling alley,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
733,Quonset hut or butler type building,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
735,Golf course improvement,Commercial,small project,NonRes,7,7A,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
742,Commercial incentive land,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
743,Garage used in conjunction with commercial incentive improvement,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
745,Golf course improvement,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
746,Non-Fireproof hotel or rooming house (Apartment hotel),Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
747,One-story commercial building,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
748,Motel,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
752,"Garage, service station",Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
753,"Gasoline station, with/without bays, store",Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
756,Commercial greenhouse,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
757,Theatre,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
758,Bank building,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
760,Supermarket,Commercial,big  project,NonRes,7,7B,Commercial Incentive,,Incentive Classes,Incentive Class,Commercial
