major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,17001,132761.09,0,0,132761.09,132761.09,0,0,0,0
1,Vacant,17002,21105.5,0,0,21105.5,21105.5,0,0,0,0
1,Vacant,17004,138.02,0,0,138.02,138.02,0,0,0,0
1,Vacant,17007,92798.6,0,0,92798.6,92798.6,0,0,0,0
1,Vacant,17022,5204.82,0,0,5204.82,5204.82,0,0,0,0
1,Vacant,17028,396.34000000000003,6775.78,0,7172.12,7172.12,0,0,0,0.944735187435
1,Vacant,17030,29713.45,26700.85,0,56414.299999999996,56414.299999999996,0,0,0,0.473300192505
1,Vacant,17048,2960.61,0,0,2960.61,2960.61,0,0,0,0
1,Vacant,17051,46154.49,9874.52,0,56029.01,56029.01,0,0,0,0.17623857345299998
1,Vacant,17052,1649.04,216.69,0,1865.73,1865.73,0,0,0,0.11613268503600001
1,Vacant,17053,2392.31,562.7900000000001,0,2955.1,2955.1,0,0,0,0.190450181898
1,Vacant,17056,1710.54,0,0,1710.54,1710.54,0,0,0,0
1,Vacant,17057,383.7,0,0,383.7,383.7,0,0,0,0
1,Vacant,17058,1309.78,0,0,1309.78,1309.78,0,0,0,0
1,Vacant,17060,3761.55,0,0,3761.55,3761.55,0,0,0,0
1,Vacant,17061,3204.08,0,0,3204.08,3204.08,0,0,0,0
1,Vacant,17062,8476.47,0,0,8476.47,8476.47,0,0,0,0
1,Vacant,17063,1010.7299999999999,307.11,0,1317.84,1317.84,0,0,0,0.233036773888
1,Vacant,17064,25748.25,0,0,25748.25,25748.25,0,0,0,0
1,Vacant,18004,4657.76,0,0,4657.76,4657.76,0,0,0,0
1,Vacant,18015,534147.42,0,0,534147.42,534147.42,0,0,0,0
1,Vacant,18016,210337.24,0,0,210337.24,210337.24,0,0,0,0
1,Vacant,18017,89992.21,0,0,89992.21,89992.21,0,0,0,0
1,Vacant,18018,399092.22000000003,0,0,399092.22000000003,399092.22000000003,0,0,0,0
1,Vacant,18020,69983.67,0,0,69983.67,69983.67,0,0,0,0
1,Vacant,18022,229.2,0,0,229.2,229.2,0,0,0,0
1,Vacant,18023,278641.12,0,0,278641.12,278641.12,0,0,0,0
1,Vacant,18027,56486.46,0,0,56486.46,56486.46,0,0,0,0
1,Vacant,18029,18218.2,0,0,18218.2,18218.2,0,0,0,0
1,Vacant,18030,10339.84,0,0,10339.84,10339.84,0,0,0,0
1,Vacant,18033,0.34,0,0,0.34,0.34,0,0,0,0
1,Vacant,18037,2022.23,0,0,2022.23,2022.23,0,0,0,0
1,Vacant,18039,202248.49,0,0,202248.49,202248.49,0,0,0,0
1,Vacant,18040,2895.49,0,0,2895.49,2895.49,0,0,0,0
1,Vacant,18041,10675.27,0,0,10675.27,10675.27,0,0,0,0
1,Vacant,18055,5.4399999999999995,0,0,5.4399999999999995,5.4399999999999995,0,0,0,0
1,Vacant,18061,118.52,0,0,118.52,118.52,0,0,0,0
1,Vacant,18064,1.9,0,0,1.9,1.9,0,0,0,0
1,Vacant,18065,5591.04,0,0,5591.04,5591.04,0,0,0,0
1,Vacant,18076,4655.81,0,0,4655.81,4655.81,0,0,0,0
1,Vacant,18077,4845.45,0,0,4845.45,4845.45,0,0,0,0
1,Vacant,18081,13854.75,0,0,13854.75,13854.75,0,0,0,0
1,Vacant,18085,46783.27,0,0,46783.27,46783.27,0,0,0,0
1,Vacant,18086,15.75,0,0,15.75,15.75,0,0,0,0
1,Vacant,18087,0.34,0,0,0.34,0.34,0,0,0,0
1,Vacant,18089,0.37,0,0,0.37,0.37,0,0,0,0
1,Vacant,18091,786.82,0,0,786.82,786.82,0,0,0,0
1,Vacant,18095,2496.31,0,0,2496.31,2496.31,0,0,0,0
1,Vacant,18096,1.8,0,0,1.8,1.8,0,0,0,0
1,Vacant,18098,0.72,0,0,0.72,0.72,0,0,0,0
1,Vacant,18099,4014.87,0,0,4014.87,4014.87,0,0,0,0
1,Vacant,18103,13350.07,45308.16,0,58658.229999999996,58658.229999999996,0,0,0,0.7724092110709999
1,Vacant,18104,1.8,0,0,1.8,1.8,0,0,0,0
1,Vacant,18106,0.37,0,0,0.37,0.37,0,0,0,0
