major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share
1,Vacant,17028,396.34000000000003,6775.78,0,7172.12,7172.12,0,0,0,0.944735187435
1,Vacant,17030,29715.829999999998,26703.05,0,56418.88,56418.88,0,0,0,0.473300192505
1,Vacant,17048,2962.15,0,0,2962.15,2962.15,0,0,0,0
1,Vacant,17051,46154.88,9874.58,0,56029.46,56029.46,0,0,0,0.17623857345299998
1,Vacant,17052,1649.04,216.69,0,1865.73,1865.73,0,0,0,0.11613268503600001
1,Vacant,17053,2392.31,562.7900000000001,0,2955.1,2955.1,0,0,0,0.190450181898
1,Vacant,17056,1710.54,0,0,1710.54,1710.54,0,0,0,0
1,Vacant,17057,383.73,0,0,383.73,383.73,0,0,0,0
1,Vacant,17058,1309.78,0,0,1309.78,1309.78,0,0,0,0
1,Vacant,17060,3761.55,0,0,3761.55,3761.55,0,0,0,0
1,Vacant,17061,3204.08,0,0,3204.08,3204.08,0,0,0,0
1,Vacant,17062,8476.47,0,0,8476.47,8476.47,0,0,0,0
1,Vacant,17063,1010.7299999999999,307.11,0,1317.84,1317.84,0,0,0,0.233036773888
1,Vacant,17064,25753.64,0,0,25753.64,25753.64,0,0,0,0
1,Vacant,18004,4657.76,0,0,4657.76,4657.76,0,0,0,0
1,Vacant,18015,551214.55,0,0,551214.55,551214.55,0,0,0,0
1,Vacant,18016,210337.24,0,0,210337.24,210337.24,0,0,0,0
1,Vacant,18017,89992.21,0,0,89992.21,89992.21,0,0,0,0
1,Vacant,18018,411162.57,0,0,411162.57,411162.57,0,0,0,0
1,Vacant,18020,69985.39,0,0,69985.39,69985.39,0,0,0,0
1,Vacant,18022,229.2,0,0,229.2,229.2,0,0,0,0
1,Vacant,18023,296417.12,0,0,296417.12,296417.12,0,0,0,0
1,Vacant,18027,57646.26,0,0,57646.26,57646.26,0,0,0,0
1,Vacant,18029,18609.89,0,0,18609.89,18609.89,0,0,0,0
1,Vacant,18030,10345.31,0,0,10345.31,10345.31,0,0,0,0
1,Vacant,18033,0.34,0,0,0.34,0.34,0,0,0,0
1,Vacant,18037,2023.88,0,0,2023.88,2023.88,0,0,0,0
1,Vacant,18039,204156.59,0,0,204156.59,204156.59,0,0,0,0
1,Vacant,18040,2896.94,0,0,2896.94,2896.94,0,0,0,0
1,Vacant,18041,10675.27,0,0,10675.27,10675.27,0,0,0,0
1,Vacant,18055,5.61,0,0,5.61,5.61,0,0,0,0
1,Vacant,18061,118.72,0,0,118.72,118.72,0,0,0,0
1,Vacant,18064,1.9,0,0,1.9,1.9,0,0,0,0
1,Vacant,18065,5602.8,0,0,5602.8,5602.8,0,0,0,0
1,Vacant,18076,4655.81,0,0,4655.81,4655.81,0,0,0,0
1,Vacant,18077,4865.13,0,0,4865.13,4865.13,0,0,0,0
1,Vacant,18081,13854.75,0,0,13854.75,13854.75,0,0,0,0
1,Vacant,18085,47055.83,0,0,47055.83,47055.83,0,0,0,0
