major_class_code,major_class_type,tax_code,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,agency_tax_rate,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,rev_perTC
1,Vacant,13063,721048.42,0,0,721048.42,721048.42,0.01732571355179763,0,0,0,0,721048.3790564144
1,Vacant,13064,3350.67,0,0,3350.67,3350.67,0.010718571071363647,0,0,0,0,3350.689628334704
1,Vacant,13067,80153.7,0,0,80153.7,80153.7,0.009740713836241041,0,0,0,0,80153.50935141502
1,Vacant,13068,60330.7,0,0,60330.7,60330.7,0.01072071350983012,0,0,0,0,60330.77239371496
1,Vacant,13069,442.77,0,0,442.77,442.77,0.009273333022188534,0,0,0,0,442.7831051434581
1,Vacant,13070,50186.99,0,0,50186.99,50186.99,0.011738570849034997,0,0,0,0,50186.96842225574
1,Vacant,13072,30058.14,0,0,30058.14,30058.14,0.01618285653862131,0,0,0,0,30058.167197687533
1,Vacant,13081,120480.06,0,0,120480.06,120480.06,0.016831427571365697,0,0,0,0,120480.13280150393
1,Vacant,13089,15.69,0,0,15.69,15.69,0.010117856860713788,0,0,0,0,15.723149561549228
1,Vacant,13094,585.59,0,0,585.59,585.59,0.01214846103115739,0,0,0,0,585.6044155459108
1,Vacant,13097,1060.5900000000001,0,0,1060.5900000000001,1060.5900000000001,0.009996922709686976,0,0,0,0,1060.6035210388202
1,Vacant,13098,1388.03,0,0,1388.03,1388.03,0.008464285533120248,0,0,0,0,1388.1089702895881
1,Vacant,13099,130158,0,0,130158,130158,0.01830142781305783,0,0,0,0,130157.96106654161
1,Vacant,13101,56928.11,0,0,56928.11,56928.11,0.008080666481442933,0,0,0,0,56928.09334510342
1,Vacant,13106,1084.99,0,0,1084.99,1084.99,0.017716152854586234,0,0,0,0,1084.9903492734247
1,Vacant,13122,4737.64,39243.79,0,43981.43,43981.43,0.010807856680642384,0,0,0,0.892280449327,43981.42712906603
1,Vacant,13132,4298.73,0,0,4298.73,4298.73,0.010682307035238531,0,0,0,0,4298.720585585514
1,Vacant,13134,467.26,3293.45,0,3760.71,3760.71,0.01882785610693132,0,0,0,0.8757350931969999,3760.6383230862475
1,Vacant,13136,9632.09,0,0,9632.09,9632.09,0.009776427825667997,0,0,0,0,9632.088645249834
1,Vacant,13141,53584.82,131756.5,0,185341.32,185341.32,0.017882141808699636,0,0,0,0.7108879970930001,185341.3542832991
