tax_code_num,major_class_code,major_class_type,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
37055,2,Residential,12529549,4838841,716756,501413,0,40000,0,2500,0,914
37055,5A,Commercial,76085,0,0,0,0,0,0,0,0,3
37055,6B,Industrial Incentive,276855,0,0,0,0,0,0,0,0,1
37055,NA,NA,0,0,0,0,0,0,0,0,0,40
37056,1,Vacant,35157,0,0,0,0,0,0,0,0,29
37057,1,Vacant,369145,0,0,0,0,0,0,0,0,37
37057,2,Residential,2469008,749144,80527,22202,0,1699,0,0,0,187
37057,NA,NA,0,0,0,0,0,0,0,0,0,8
37058,1,Vacant,625324,0,0,0,0,0,0,0,0,57
37058,2,Residential,3840080,680000,186542,55208,0,16000,0,0,0,97
37058,5A,Commercial,1451511,0,0,0,0,0,0,0,0,31
37058,NA,NA,0,0,0,0,0,0,0,0,0,4
37059,1,Vacant,1399018,0,0,0,0,0,0,0,0,66
37059,2,Residential,104816940,22456408,5923498,3184795,0,318435,0,83935,0,3091
37059,5A,Commercial,28877543,10000,0,0,0,0,0,0,0,112
37059,5B,Industrial,50879905,0,0,0,0,0,0,0,129642,136
37059,6B,Industrial Incentive,15750408,0,0,0,0,0,0,0,0,30
37059,8,Commercial/Industrial Incentive,13106826,0,0,0,0,0,0,0,0,50
37059,NA,NA,0,0,0,0,0,0,0,0,0,168
37060,1,Vacant,229374,0,0,0,0,0,0,0,0,51
37060,2,Residential,1052502,390000,48000,4197,0,8000,0,0,0,48
37060,5A,Commercial,689706,0,0,0,0,0,0,0,0,8
37060,5B,Industrial,1217718,0,0,0,0,0,0,0,0,7
37060,8,Commercial/Industrial Incentive,153882,0,0,0,0,0,0,0,0,1
37060,NA,NA,0,0,0,0,0,0,0,0,0,22
37064,1,Vacant,35513,0,0,0,0,0,0,0,0,6
37064,2,Residential,22719673,4850000,1569143,1305183,0,91566,0,7472,0,604
37064,5A,Commercial,1003,0,0,0,0,0,0,0,0,1
37064,5B,Industrial,638575,0,0,0,0,0,0,0,0,4
37064,8,Commercial/Industrial Incentive,372551,0,0,0,0,0,0,0,0,1
37064,NA,NA,0,0,0,0,0,0,0,0,0,16
37065,1,Vacant,256478,0,0,0,0,0,0,0,0,70
37065,2,Residential,16791887,5029888,619165,269087,0,22718,0,6753,0,1371
37065,3,Multi-Family,207164,0,0,0,0,0,0,0,0,17
37065,5A,Commercial,1603136,10000,0,0,0,0,0,0,0,18
37065,NA,NA,0,0,0,0,0,0,0,0,0,83
37066,1,Vacant,183558,0,0,0,0,0,0,0,0,13
37066,2,Residential,13753560,3049511,802365,441432,0,26513,0,12189,0,474
37066,5A,Commercial,2128492,0,0,0,0,0,0,0,0,19
37066,5B,Industrial,4162484,0,0,0,0,0,0,0,0,29
37066,6B,Industrial Incentive,1039376,0,0,0,0,0,0,0,0,7
37066,NA,NA,0,0,0,0,0,0,0,0,0,110
37067,1,Vacant,816888,0,0,0,0,0,0,0,0,30
37067,2,Residential,24985519,7001000,1998941,594365,0,89003,0,7500,0,940
37067,3,Multi-Family,602323,0,0,0,0,0,0,0,0,7
37067,5A,Commercial,519453,0,0,0,0,0,0,0,0,6
37067,5B,Industrial,19528990,0,0,0,0,0,0,0,0,61
37067,6B,Industrial Incentive,910443,0,0,0,0,0,0,0,0,2
37067,NA,NA,0,0,0,0,0,0,0,0,0,51
37068,1,Vacant,164877,0,0,0,0,0,0,0,0,14
37068,2,Residential,6891,0,0,0,0,0,0,0,0,2
37068,5A,Commercial,262286,0,0,0,0,0,0,0,0,3
37068,5B,Industrial,5460346,0,0,0,0,0,0,0,0,11
37068,8,Commercial/Industrial Incentive,1076270,0,0,0,0,0,0,0,0,2
37068,NA,NA,0,0,0,0,0,0,0,0,0,37
37069,1,Vacant,546449,0,0,0,0,0,0,0,0,12
37069,2,Residential,86632065,16567032,4428311,2254534,0,84594,0,20000,0,2278
37069,3,Multi-Family,2558662,0,0,0,0,0,0,0,0,48
37069,5A,Commercial,51385390,0,0,0,0,0,0,0,0,96
37069,5B,Industrial,157314,0,0,0,0,0,0,0,0,1
37069,6B,Industrial Incentive,2624057,0,0,0,0,0,0,0,0,7
37069,8,Commercial/Industrial Incentive,8182788,0,0,0,0,0,0,0,0,30
37069,NA,NA,0,0,0,0,0,0,0,0,0,89
37072,1,Vacant,1004796,0,0,0,0,0,0,0,0,93
37072,2,Residential,223027620,51951644,11967572,4931803,0,502656,0,25962,0,7857
37072,3,Multi-Family,16123724,0,0,0,0,0,0,0,0,76
37072,4,Not For Profit,32042,0,0,0,0,0,0,0,0,1
37072,5A,Commercial,37753024,10000,0,0,0,0,0,0,0,141
37072,5B,Industrial,9312759,0,0,0,0,0,0,0,0,30
37072,6B,Industrial Incentive,1983337,0,0,0,0,0,0,0,0,4
37072,8,Commercial/Industrial Incentive,260328,0,0,0,0,0,0,0,0,4
37072,NA,NA,0,0,0,0,0,0,0,0,0,310
37073,1,Vacant,285212,0,0,0,0,0,0,0,0,2
37079,1,Vacant,142827,0,0,0,0,0,0,0,0,2
37080,1,Vacant,527897,0,0,0,0,0,0,0,0,27
37080,2,Residential,150494977,28586700,9639360,5505732,0,423592,0,57500,0,3457
37080,5A,Commercial,11530262,10000,0,0,0,0,0,0,0,20
37080,5B,Industrial,796523,0,0,0,0,0,0,0,0,2
37080,8,Commercial/Industrial Incentive,555824,0,0,0,0,0,0,0,0,4
37080,NA,NA,0,0,0,0,0,0,0,0,0,103
37082,5A,Commercial,1644173,0,0,0,0,0,0,0,0,5
37082,NA,NA,0,0,0,0,0,0,0,0,0,2
37083,2,Residential,757225,300000,45772,25281,0,0,0,0,0,49
37083,5A,Commercial,135242,0,0,0,0,0,0,0,0,3
37083,NA,NA,0,0,0,0,0,0,0,0,0,14
37084,NA,NA,0,0,0,0,0,0,0,0,0,1
37085,1,Vacant,132988,0,0,0,0,0,0,0,0,20
37085,2,Residential,412529,170000,38938,12526,0,2000,0,0,0,26
37085,3,Multi-Family,225998,0,0,0,0,0,0,0,0,1
37085,5A,Commercial,70476,0,0,0,0,0,0,0,0,1
37085,NA,NA,0,0,0,0,0,0,0,0,0,5
37086,1,Vacant,84070,0,0,0,0,0,0,0,0,3
37086,2,Residential,27913,10000,0,0,0,0,0,0,0,1
37086,5A,Commercial,2141316,0,0,0,0,0,0,0,0,18
37086,5B,Industrial,1123061,0,0,0,0,0,0,0,0,5
37086,NA,NA,0,0,0,0,0,0,0,0,0,28
37091,1,Vacant,266603,0,0,0,0,0,0,0,0,5
37091,2,Residential,1758256,200000,48000,14575,0,0,0,0,0,22
37091,5A,Commercial,12489157,0,0,0,0,0,0,0,0,55
37091,5B,Industrial,2724974,0,0,0,0,0,0,0,961669,7
37091,8,Commercial/Industrial Incentive,1723943,0,0,0,0,0,0,0,0,2
37091,NA,NA,0,0,0,0,0,0,0,0,0,2
37097,1,Vacant,2420,0,0,0,0,0,0,0,0,3
