year,actual_keypin,incent_pins,project_pins,fmv,tax_code,in_tif,pin_classes,land_use,incent_prop,triad,exe_abate,clean_name,landuse_change,incent_change,tif_change,pin_classes_2011,pin_classes_2022,base_year_fmv_2011,end_year_fmv_2022,fmv_growth_2011,fmv_2022_2011_diff,landuse_change2,land_use2,tif_change2,incent_change2,in_tif2
2022,1111593 - MACNEAL HOSPITAL,0,3,0,11002,0,0,Exempt,Non-Incentive,South,0,Berwyn,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,685108,0,0,-685108,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,1201157 - HOMEWOOD ANIMAL HOSP,0,3,0,12258,1,0,Exempt,Non-Incentive,South,0,Homewood,Changes Land Use,Never Incentive,Always TIF,517,0,249984,0,0,-249984,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1201284 - FIFTH THIRD BANK,0,3,0,12239,1,0,Exempt,Non-Incentive,South,0,South Chicago Heights,Changes Land Use,Never Incentive,Always TIF,"517, 593",0,327800,0,0,-327800,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1201453 - DAVE MITCHELTREE,0,3,0,12234,1,0,Exempt,Non-Incentive,South,0,South Chicago Heights,Changes Land Use,Never Incentive,Always TIF,"532, 590",0,1200956,0,0,-1200956,Changes,Multi Land Uses,Always TIF,Never Incentive,1
2022,1500909 - ALEX MONROE,0,3,0,15001,0,0,Exempt,Non-Incentive,South,0,Cicero,Changes Land Use,Never Incentive,Never TIF,"590, 593",0,240080,0,0,-240080,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,1613874 - JUDICIAL DR PROP HLD,0,3,0,16053,0,0,Exempt,Non-Incentive,North,0,Rolling Meadows,Changes Land Use,Never Incentive,Never TIF,"517, 590",0,1419988,0,0,-1419988,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,1613962 - ARTHUR J ROGERS & CO,0,3,0,16114.333333333334,0.6666666666666666,0,Exempt,Non-Incentive,North,0,Elk Grove Village,Changes Land Use,Never Incentive,"Changes, Never TIF","580, 593",0,2467732,0,0,-2467732,Changes,Multi Land Uses,Changes,Never Incentive,Partly in TIF
2022,1803079 - LAMPLIGHTER BIBLE CH,0,3,0,18023,0,0,Exempt,Non-Incentive,North,0,Streamwood,Changes Land Use,Never Incentive,Never TIF,"590, 597",0,1153828,0,0,-1153828,Changes,Multi Land Uses,Never TIF,Never Incentive,0
2022,201567 - CITIZENS FINANCIAL,0,3,0,11013,1,0,Exempt,Non-Incentive,South,0,Berwyn,Changes Land Use,Never Incentive,Changes,"590, 592",0,1058328,0,0,-1058328,Changes,Multi Land Uses,Changes,Never Incentive,1
2022,2113603 - CHICAGOLAND ROOFERS JO,0,3,0,21097,0,0,Exempt,Non-Incentive,South,0,Indian Head Park,Changes Land Use,Never Incentive,Never TIF,"100, 480, 493",0,1305350,0,0,-1305350,Changes,Multi Land Uses,Never TIF,Never Incentive,0
