year,clean_name,muni_PC_total,muni_PC_residential,muni_PC_industrial,muni_PC_commercial,muni_PC_inTIF,muni_PC_withincents,muni_PC_incents_inTIFs,muni_PC_claimed_exe,muni_fmv_incentive,muni_fmv_taxed,muni_fmv_inTIF,muni_fmv_exempt,muni_fmv_abated,muni_fmv_tif_increment,muni_fmv_abates_inTIF,muni_fmv_incents_inTIF,muni_fmv_untaxable_value,muni_fmv,muni_fmv_residential,muni_fmv_industrial,muni_fmv_commercial,muni_zero_bill,muni_levy,muni_current_rate_avg,muni_eav_taxed,muni_min_TC_rate,muni_max_TC_rate,muni_avg_C2_bill_noexe,muni_avg_C2_bill_withexe,muni_eav,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,muni_range_TC_rate,muni_effective_rate,muni_pct_eav_taxed,pct_fmv_taxed,pct_fmv_w_incentclass,pct_fmv_inTIF,pct_fmv_in_tif_increment,pct_fmv_untaxable_value,pct_fmv_incents_inTIFs
2016,Hazelcrest,6151,5429,29,167,361,26,4,3639,8617870,397866921,25114832,113667808,0,2436388,0,1489670,11718165,514050180,448607990,6784700,52206010,320,28640029.23,22.039,132430927.04922786,20.326,24.11,3501.859,3732.637,165257147,320,3637,892,504,2,136,0,15,0,3.784,5.571,0.216,0.774,0.017,0.049,0.005,0.023,0.003
2016,Hickory Hills,5121,4702,31,147,19,0,0,3657,0,777687102,11114102,126399954,0,1840469,0,0,13100113,905927664,797354760,19333040,83411104,128,33543940.29,12.871,260429225.06351256,11.77,13.17,4531.062,5165.378,297151485,128,3657,1101,517,0,82,0,4,0,1.4,3.703,0.129,0.858,0,0.012,0.002,0.014,0
2016,Hillside,3450,2841,155,190,186,15,0,1996,34107320,473962275,80583018,61571408,0,26335603,0,0,12699056,561869406,345271500,82464652,128391104,187,27296807.2,14.293,196224385.72121367,12.975,15.93,3706.691,3767.464,231822383,187,1994,483,290,2,47,0,7,0,2.955,4.858,0.139,0.844,0.061,0.143,0.047,0.023,0
2016,Hinsdale,981,788,0,7,0,0,0,534,0,580540384,0,15458997,0,0,0,0,1545900,595999476,583542580,0,6663056,109,12844937.36,7.72,165538762.30356884,7.637,8.231,13925.951,16511.281,169872259,109,534,88,13,0,1,0,0,0,0.594,2.155,0.078,0.974,0,0,0,0.003,0
2016,Hodgkins,615,176,126,91,72,46,2,132,81839040,346276032,22314900,4756675,0,7571850,0,665000,2357058,358604610,44450870,211434828,90519232,141,21710841.099999998,11.966,186470679.97374907,10.071,12.06,4177.707,5569.119,193078003,141,131,32,18,1,5,0,1,0,1.989,6.054,0.116,0.966,0.228,0.062,0.021,0.007,0.002
2016,Hoffman Estates,17654,16540,28,284,143,6,0,13086,14039080,4169450497,388681728,447700389,0,346374609,0,0,128071244,4963943170,4040746940,83458704,775134076,473,142814226.24,10.505,1387629038.2843685,7.71,11.456,5095.79,6377.133,1746465556,473,13083,2716,1035,1,171,0,14,0,3.746,2.877,0.103,0.84,0.003,0.078,0.07,0.026,0
2016,Homer Glen,3,0,0,0,0,0,0,0,0,525708,0,0,0,0,0,0,0,525710,0,0,0,0,13159.83,8.93,147366.51735722285,8.93,8.93,NA,NA,147367,0,0,0,0,0,0,0,0,0,0,2.503,0.089,1,0,0,0,0,0
2016,Hometown,1683,1646,0,17,0,0,0,1344,0,139208748,0,45633555,0,0,0,0,4563355,184842300,174686990,0,10115360,29,5443293.1,12.578,43276300.68373351,12.578,12.578,3679.328,2558.849,56068309,29,1344,382,281,0,40,0,0,0,0,2.945,0.126,0.753,0,0,0,0.025,0
2016,Homewood,8544,7788,38,287,126,43,5,5982,33176220,961736605,28690110,190616866,0,1801921,0,4649410,19438383,1154155222,961499170,22689342,163792890,367,58369238.28,17.42,333505270.64543045,16.993,19.979,4665.048,4789.19,387994922,367,5982,1526,661,0,104,1,15,0,2.986,5.057,0.175,0.833,0.029,0.025,0.002,0.017,0.004
2016,Indian Head Park,2257,2127,8,15,0,1,0,1438,883180,424469982,0,54140058,0,0,0,0,5414006,478610028,460739780,2430964,14286504,34,11645699.93,9.221,125645426.82539886,8.638,9.639,3315.523,5713.83,140822020,34,1437,662,242,1,19,0,1,0,1.001,2.433,0.093,0.887,0.002,0,0,0.011,0
