clean_name,rank,has_HO_exemp,median_AV,median_EAV,mean_bill_cur,mean_bill_new,mean_change,perceived_savings,cur_comp_TC_rate,new_comp_TC_rate,pincount,rate_change
Bellwood,q75,1,31726,95265,14899,14476,-424,1747.249926375833,17.47,15.2,2,-2.2699999999999996
Berkeley,q75,1,31175,93609,12194,11716,-478,1458.4998896855664,14.59,12.52,1,-2.0700000000000003
Berwyn,q75,1,31578,94818,11206,11013,-194,1468.0999473253155,14.45,12.6,26,-1.8499999999999996
Bridgeview,q75,1,31609,94912,9300,9852,552,1312.9999693849115,12.9,11.98,5,-0.9199999999999999
Brookfield,q75,1,31563,94774,10467,10404,-63,1346.199945455733,13.06,11.54,51,-1.5200000000000014
Burbank,q75,1,31643,95014,9681,9497,-184,1228.899954404446,12.29,10.7,39,-1.5899999999999999
Chicago,q75,1,32000,96086,5123,5319,196,671.599999292102,6.7,6.16,4473,-0.54
Chicago Heights,q75,1,31569,94792,16039,14820,-1219,2199.5999281690315,22,18,3,-4
Chicago Ridge,q75,1,31862,95672,10180,10545,366,1248.59992175943,12.25,11.34,3,-0.9100000000000001
Country Club Hills,q75,1,31447,94426,18454,17843,-611,3893.249820327748,24.39,20.67,7,-3.719999999999999
Countryside,q75,1,31498,94579,5793,6277,484,818.7999610654874,7.77,7.42,24,-0.34999999999999964
Crestwood,q75,1,31545,94720,8457,8540,82,1952.0999112145696,11.22,10.01,7,-1.2100000000000009
Des Plaines,q75,1,31505,94600,7920,8220,299,1023.6999825273496,10.05,9.26,128,-0.7900000000000009
Elk Grove Village,q75,1,31440,94404,8082,8328,246,1059.7999856659458,10.24,9.37,304,-0.870000000000001
Elmwood Park,q75,1,31568,94789,10079,10047,-33,1250.8999560333343,12.51,11.09,57,-1.42
Evanston,q75,1,31594,94867,7057,7445,387,895.6999930687798,8.91,8.35,120,-0.5600000000000005
Evergreen Park,q75,1,31444,94416,10573,10421,-152,1273.1999527243106,12.73,11.21,20,-1.5199999999999996
Flossmoor,q75,1,31579,94822,14231,14286,54,1794.499932069382,17.93,15.99,52,-1.9399999999999995
Forest Park,q75,1,31624,94957,8894,9240,346,1133.7999425427,11.34,10.45,55,-0.8900000000000006
Franklin Park,q75,1,31291,93957,10108,10195,88,2220.4799425322603,12.7,11.38,5,-1.3199999999999985
Glencoe,q75,1,31342,94111,8194,8573,379,716.0999802334942,9.55,9.3,5,-0.25
Glenview,q75,1,31541,94708,6614,7020,406,841.4999896924559,8.34,7.88,140,-0.45999999999999996
Harwood Heights,q75,1,31573,94804,7305,7558,253,914.9999464382868,9.03,8.31,26,-0.7199999999999989
Hickory Hills,q75,1,31674,95108,9923,9739,-184,1202.8999544555395,12.02,10.52,30,-1.5
Hillside,q75,1,31760,95364,10127,10695,567,1368.7999411967785,12.97,12.13,10,-0.8399999999999999
Hodgkins,q75,1,31160,93564,8746,9645,900,1046.5999424447332,10.47,10.31,1,-0.16000000000000014
Hoffman Estates,q75,1,31677,95117,9108,9298,190,1199.199978062412,11.24,10.21,341,-1.0299999999999994
Homewood,q75,1,31495,94570,13190,12646,-543,1665.9999571470146,16.17,13.81,7,-2.360000000000001
Indian Head Park,q75,1,31691,95159,6536,6807,271,867.9999255083707,8.32,7.71,9,-0.6100000000000003
Inverness,q75,1,31804,95496,8297,8699,403,1423.9299317583223,10.22,9.54,10,-0.6800000000000015
Justice,q75,1,31889,95753,9696,9559,-137,1139.1998874749092,11.39,10.05,3,-1.3399999999999999
Kenilworth,q75,1,31961,95969,7667,8460,793,1769.9398237014918,9.83,9.62,1,-0.21000000000000085
La Grange,q75,1,31663,95074,7337,7669,332,924.7999663622206,9.09,8.5,58,-0.5899999999999999
La Grange Park,q75,1,31586,94843,7714,7943,229,1218.09991017595,9.92,9.06,124,-0.8599999999999994
Lansing,q75,1,32062,96273,14042,13561,-480,1627.5999037803435,16.28,14.09,1,-2.1900000000000013
Lemont,q75,1,31593,94864,6213,6541,329,783.7999358853033,7.84,7.33,140,-0.5099999999999998
Lincolnwood,q75,1,31561,94768,7363,7910,547,966.199963458349,9.66,9.19,261,-0.47000000000000064
Lynwood,q75,1,31550,94736,10362,10706,344,1346.999886138848,12.87,11.84,24,-1.0299999999999994
Lyons,q75,1,31754,95346,7799,7997,198,1605.6598708910233,11.47,10.25,4,-1.2200000000000006
Markham,q75,1,31305,94000,16838,15921,-916,5365.282678238078,23.62,19.59,1,-4.030000000000001
Matteson,q75,1,31418,94339,14692,14324,-368,1799.7999383624128,18,15.63,3,-2.369999999999999
Mc Cook,q75,1,31818,95540,11898,13022,1124,1390.8998950493096,13.91,13.63,1,-0.27999999999999936
Midlothian,q75,1,31445,94420,12370,12395,25,1476.8998915655377,14.8,13.24,9,-1.5600000000000005
Morton Grove,q75,1,31575,94810,7919,8135,216,1276.499971523283,10.38,9.43,167,-0.9500000000000011
Mt Prospect,q75,1,31555,94750,8137,8326,189,1105.099978407872,10.41,9.45,345,-0.9600000000000009
Niles,q75,1,31630,94976,7462,7706,245,1026.1999851320163,9.53,8.72,66,-0.8099999999999987
Norridge,q75,1,31550,94736,6308,6593,285,1270.6499070028815,8.56,7.89,92,-0.6700000000000008
North Lake,q75,1,31698,95180,11407,11603,195,1339.199896694002,13.39,12.19,1,-1.200000000000001
North Riverside,q75,1,31482,94530,8198,8345,147,944.099948297348,9.79,8.9,16,-0.8899999999999988
Northbrook,q75,1,31631,94978,6760,7311,551,864.8999924513025,8.44,8.13,91,-0.3099999999999987
Northfield,q75,1,31494,94568,6639,7089,450,822.799967513023,8.18,7.82,26,-0.35999999999999943
Oak Forest,q75,1,31574,94806,11638,11132,-505,1513.0999352899337,14.03,11.98,10,-2.049999999999999
Oak Lawn,q75,1,31696,95174,9449,9304,-145,1233.7999690091067,11.89,10.4,106,-1.4900000000000002
Oak Park,q75,1,31583,94834,9848,10338,490,1246.1999825774571,12.46,11.61,311,-0.8500000000000014
Olympia Fields,q75,1,31707,95207,14872,14705,-167,1876.899757905371,17.83,15.74,17,-2.089999999999998
Orland Hills,q75,1,31200,93684,9588,9299,-290,1139.1999567972537,11.39,9.87,7,-1.5200000000000014
Orland Park,q75,1,31595,94870,7745,8062,317,963.4999798155266,9.73,9,518,-0.7300000000000004
Palatine,q75,1,31494,94567,8627,8873,246,1081.599986886862,10.83,9.89,394,-0.9399999999999995
Palos Heights,q75,1,31519,94642,8966,9117,151,1148.199950835712,11.1,10.05,137,-1.049999999999999
Palos Hills,q75,1,31561,94768,9456,9401,-55,1177.599946873771,11.64,10.31,32,-1.33
Palos Park,q75,1,31611,94918,7424,7810,386,929.399954854368,9.31,8.71,32,-0.5999999999999996
Park Ridge,q75,1,31580,94825,7844,8265,421,1028.2999813954611,10.12,9.45,369,-0.6699999999999999
Prospect Heights,q75,1,31567,94786,8980,9282,302,1091.9999427872458,11.01,10.13,61,-0.879999999999999
River Forest,q75,1,31626,94963,8076,8594,519,1864.2599345509864,10.36,9.77,11,-0.5899999999999999
River Grove,q75,1,31252,93840,10530,10514,-16,1252.199872933475,12.76,11.36,5,-1.4000000000000004
Riverside,q75,1,31581,94828,9393,9809,416,1225.699938995912,12.26,11.32,102,-0.9399999999999995
Rolling Meadows,q75,1,31658,95059,9282,9560,277,1140.699982480559,11.29,10.37,41,-0.9199999999999999
Rosemont,q75,1,31706,95204,7595,8480,885,1007.7999590822012,10.08,9.97,19,-0.10999999999999943
Schaumburg,q75,1,31545,94720,8013,8548,534,1009.3999877505308,10.1,9.57,405,-0.5299999999999994
Schiller Park,q75,1,31346,94123,9917,10457,540,1404.3699628823142,12.77,11.93,8,-0.8399999999999999
