nbhd_code,nbh_current_rate,major_class_code,nbhd_3,triad_name,nbh_final_tax_to_dist,nbh_tif_rev,nbh_nonTIF_EAV_post_exemps,nbh_TIF_increment_EAV,nbh_exe_and_abates_frombills,Total_EAV,TC_MC_PC,TC_MC_AV,TC_MC_EAV,TC_MC_res_exe,nbh_mc_exe_homeowner,nbh_mc_exe_senior,nbh_mc_exe_freeze,nbh_mc_exe_longtime_homeowner,nbh_mc_exe_disabled,nbh_mc_exe_vet_returning,nbh_mc_exe_vet_dis_lt50,nbh_mc_exe_vet_dis_50_69,nbh_mc_exe_vet_dis_ge70,nbh_mc_exe_abate,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp
22091,0.1024859862202115,5B,091,North,571774.16,0,5579047.254045345,0,0,5579047.254045345,14,1858010,5579047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22087,0.09668476961538695,1,087,North,12411.060000000001,0,128366.23647521042,0,0,128366.23647521042,6,42750,128366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22087,0.09966151450995026,2,087,North,6882189.25,0,69055635.8072692,0,14001758.784407195,83057394.59167638,967,27660907,83057394,14001759,7980000,3160000,2790259,0,64000,0,2500,5000,0,0,0,799,395,185,0,32,0,2,0
22087,0.09634926071927379,3,087,North,264113.55,0,2741209.9275938347,0,0,2741209.9275938347,6,912915,2741210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22087,0.09828210944544329,5A,087,North,1195922.4,376177.36,12168261.413475871,3916876.8928802432,0,16085138.306356113,17,5356891,16085139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22085,0.09542084356697059,1,085,North,88674.43,1172.85,929298.3239847837,12136.278973509932,0,941434.6029582936,21,313529,941435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22085,0.09277547864871882,2,085,North,26590044.23,0,286606381.5275955,0,58168812.48624603,344775194.01384157,4173,114821732,344775226,58168814,33897690,12836126,11219998,0,210000,0,5000,0,0,0,4,3310,1433,632,0,105,0,2,0
22085,0.09459569345094342,3,085,North,901129.9299999999,0,9526120.028575284,0,0,9526120.028575284,10,3172519,9526121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22085,0.09704045058996817,5A,085,North,16158778.92,282472.88,166515909.8268909,2922939.569536424,17999.999716197166,169456849.3961435,124,56434827,169456854,18000,10000,8000,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22085,0.09898000000000001,5B,085,North,206336.08000000002,0,2084623.96443726,0,0,2084623.96443726,2,694250,2084624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22082,0.09487,1,082,North,12.530000000000001,0,132.07547169811323,0,0,132.07547169811323,1,44,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
