year,clean_name,major_class_code,cur_comp_muni_rate,new_comp_muni_rate,current_taxable_eav,new_taxable_eav,av,eav,equalized_av,pins_in_muni,all_exemptions,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis_lt50,exe_vet_dis_50_69,exe_vet_dis_ge70,exe_abate,exe_vet_dis,final_tax_to_dist,final_tax_to_tif,tax_amt_exe,tax_amt_pre_exe,tax_amt_post_exe,rpm_tif_to_cps,rpm_tif_to_rpm,rpm_tif_to_dist,tif_share,zero_bills,has_HO_exemp,has_SF_exemp,has_FR_exemp,has_LTHO_exemp,has_DI_exemp,has_VR_exemp,has_DV_exemp,has_AB_exemp,total_bill_current
2006,Berwyn,6B,9.195,9.195,754615.1169113648,754615.1169113648,422005,1142622,1142622,12,0,0,0,0,0,0,0,0,0,0,0,0,69386.86,35677.2,0,105064.06,105064.06,0,0,0,0.339575566673,0,0,0,0,0,0,0,0,0,105064.06
2006,Berwyn,9,8.92725,8.92725,2325549.5253297486,2325549.5253297486,975151,2640316,2640316,16,0,0,0,0,0,0,0,0,0,0,0,0,207607.62,31138.05,0,238745.66999999998,238745.66999999998,0,0,0,0.07518798437675,0,0,0,0,0,0,0,0,0,238745.66999999998
2006,Blue Island,0,10.370939218523878,10.370939218523878,0,0,0,0,0,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04667533582463097,1382,0,0,0,0,0,0,0,0,0
2006,Blue Island,1,9.935470809792843,9.935470809792843,6330580.120874153,6330580.120874153,2589941,7012533,7012533,531,0,0,0,0,0,0,0,0,0,0,0,0,628972.94,85663.95,0,714636.89,714636.89,0,0,0,0.18073415843633897,0,0,0,0,0,0,0,0,0,714636.8899999999
2006,Blue Island,2,10.303204991680532,8.33955766195183,150188887.1714667,185552634.1714667,75808128,205258068,205258068,6010,48105292,35363747,2785165,9956380,0,0,0,0,0,0,193571,0,15474268.92,742096.87,4971228.307006286,21187593.74,16216365.79,0,0,0,0.06034453183920549,31,3892,864,579,0,0,0,0,6,16216365.79
2006,Blue Island,3,10.58173873873874,10.58173873873874,15836625.070557557,15836625.070557557,5954092,16121302,16121302,111,0,0,0,0,0,0,0,0,0,0,0,0,1675790.29,20861.39,0,1696651.68,1696651.68,0,0,0,0.019364190473603604,0,0,0,0,0,0,0,0,0,1696651.68
2006,Blue Island,4,10.197,10.197,135512.50367755222,135512.50367755222,50049,135512,135512,5,0,0,0,0,0,0,0,0,0,0,0,0,13818.21,0,0,13818.21,13818.21,0,0,0,0,0,0,0,0,0,0,0,0,0,13818.21
2006,Blue Island,5A,10.29932241813602,10.298114166002243,42615749.96692209,42620749.96692209,18510235,50118314,50118314,397,5000,5000,0,0,0,0,0,0,0,0,5818771,0,4389133.49,170258.56,604774.041676049,5164166.2,4559392.05,0,0,0,0.03621046021038539,0,1,0,0,0,0,0,0,39,4559392.05
2006,Blue Island,5B,10.368357575757576,10.365962563741208,21640731.847889178,21645731.847889178,11968056,32404710,32404710,165,5000,5000,0,0,0,0,0,0,0,0,4610790,0,2243788.46,619958.6799999999,498153.8997669332,3361901.06,2863747.14,0,0,0,0.20096154283794546,0,1,0,0,0,0,0,0,27,2863747.1399999997
2006,Blue Island,6B,10.190199999999999,10.190199999999999,3704513.0615689587,3704513.0615689587,2281992,6178723,6178723,15,0,0,0,0,0,0,0,0,0,0,822051,0,377497.29,204535.79,79478.84323378044,661511.9,582033.08,0,0,0,0.39362588692853334,0,0,0,0,0,0,0,0,8,582033.08
2006,Blue Island,8,11.922555555555554,11.922555555555554,370714.3975471329,370714.3975471329,257474,697138,697138,9,0,0,0,0,0,0,0,0,0,0,32331,0,44198.63,36656.83,3960.8703354593426,84816.31,80855.45999999999,0,0,0,0.5205706661541111,0,0,0,0,0,0,0,0,1,80855.45999999999
2006,Blue Island,9,10.407357142857142,10.40735714285714,2169560.695387192,2169560.695387192,937651,2538783,2538783,28,0,0,0,0,0,0,0,0,0,0,0,0,225793.93,38160.56,0,263954.49,263954.49,0,0,0,0.12332516893035715,0,0,0,0,0,0,0,0,0,263954.49
2006,Bridgeview,0,8.340338797814207,8.340338797814207,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009961969728519125,366,0,0,0,0,0,0,0,0,0
2006,Bridgeview,1,8.26356204379562,8.26356204379562,7396457.081833183,7396457.081833183,3197284,8656962,8656962,137,0,0,0,0,0,0,0,0,0,0,0,0,611210.82,107884.23999999999,0,719095.06,719095.06,0,0,0,0.04795025142308759,0,0,0,0,0,0,0,0,0,719095.0599999999
2006,Bridgeview,2,8.19377452667814,6.4833647489136865,169451237.82444292,214155039.82444292,85658663,231929385,231929385,4067,58315428,44703802,2996000,10615626,0,0,0,0,0,0,0,0,13884452.36,303360.25,4769812.211058798,18957620.75,14187812.61,0,0,0,0.014577058913044996,0,3210,730,430,0,0,0,0,0,14187812.61
2006,Bridgeview,3,8.043709090909092,8.043709090909092,14471953.259916276,14471953.259916276,5343781,14468823,14468823,55,0,0,0,0,0,0,0,0,0,0,0,0,1164081.82,2695.64,0,1166777.46,1166777.46,0,0,0,0.004367923892763636,0,0,0,0,0,0,0,0,0,1166777.46
2006,Bridgeview,5A,8.097681063122923,8.097681063122923,129078686.08953305,129078686.08953305,53265827,144222563,144222563,301,0,0,0,0,0,0,0,0,0,0,0,0,10452380.32,1183167.4,0,11635547.72,11635547.72,0,0,0,0.04636071941536877,0,0,0,0,0,0,0,0,0,11635547.72
2006,Bridgeview,5B,8.215629893238434,8.215629893238434,174152489.29087514,174152489.29087514,62739645,169873858,169873858,281,0,0,0,0,0,0,0,0,0,0,0,0,14307723.97,0,0,14307723.97,14307723.97,0,0,0,0,0,0,0,0,0,0,0,0,0,14307723.97
