tax_code_num,class_code,av,eav,exe_homeowner,exe_senior,exe_freeze,exe_longtime_homeowner,exe_disabled,exe_vet_returning,exe_vet_dis,exe_abate,pin_count
10132,209,1093689,3284021,100000,8000,0,0,0,0,0,0,11
10132,278,2953159,8867451,450000,16000,0,0,0,0,0,0,45
10133,0,0,0,0,0,0,0,0,0,0,0,1
10134,100,15,45,0,0,0,0,0,0,0,0,15
10134,204,4841672,14538093,730000,504000,102512,0,2000,0,0,0,93
10134,241,10690,32097,0,0,0,0,0,0,0,0,11
10135,100,23,69,0,0,0,0,0,0,0,0,23
10135,204,3269670,9817838,530000,336000,0,0,0,0,5000,0,63
10136,100,7,21,0,0,0,0,0,0,0,0,7
10136,241,1408,4228,0,0,0,0,0,0,0,0,2
10139,100,353295,1060839,0,0,0,0,0,0,0,0,41
10139,208,3987081,11972009,330000,32000,0,0,0,0,0,0,44
10139,209,1801420,5409124,140000,8000,0,0,0,0,0,0,18
10139,278,460111,1381576,50000,0,0,0,0,0,0,0,6
10140,239,227,682,0,0,0,0,0,0,0,0,1
10141,100,34412,103329,0,0,0,0,0,0,0,0,1
10141,239,1291,3876,0,0,0,0,0,0,0,0,1
10141,522,121921,366092,0,0,0,0,0,0,0,0,1
10141,590,60839,182681,0,0,0,0,0,0,0,0,1
10142,190,150000,450405,0,0,0,0,0,0,0,0,1
10142,597,1462361,4391031,0,0,0,0,0,0,0,0,1
10145,239,15247,45782,0,0,0,0,0,0,0,0,1
10146,239,16799,50442,0,0,0,0,0,0,0,0,1
10148,528,382307,1147953,0,0,0,0,0,0,0,0,2
10148,590,36346,109136,0,0,0,0,0,0,0,0,1
10149,590,133019,399416,0,0,0,0,0,0,0,0,1
10149,591,10051893,30182819,0,0,0,0,0,0,0,0,1
10150,590,199169,598045,0,0,0,0,0,0,0,0,1
10150,597,1702861,5113181,0,0,0,0,0,0,0,0,1
10151,239,5507,16536,0,0,0,0,0,0,0,0,1
10151,590,608210,1826272,0,0,0,0,0,0,0,0,1
10152,0,0,0,0,0,0,0,0,0,0,0,4
10152,100,645173,1937261,0,0,0,0,0,0,0,0,4
10152,190,6742,20244,0,0,0,0,0,0,0,0,1
10152,517,141999,426380,0,0,0,0,0,0,0,0,1
10152,590,745125,2237387,0,0,0,0,0,0,0,0,3
10152,593,172998,519461,0,0,0,0,0,0,0,0,1
11001,0,0,0,0,0,0,0,0,0,0,0,82
11001,100,30597,91872,0,0,0,0,0,0,0,0,9
11001,190,6345,19052,0,0,0,0,0,0,0,0,1
11001,200,6142,18442,0,0,0,0,0,0,0,0,2
11001,201,230974,693547,0,0,0,0,0,0,0,0,73
11001,202,5090601,15285547,3420000,690304,404718,0,28000,0,0,0,419
11001,203,34719931,104253526,16346600,3470733,5087401,0,102000,0,30000,0,1940
11001,204,5271532,15828826,2060000,368000,555912,0,26000,0,0,0,250
11001,205,5879468,17654267,2740000,440000,796604,0,18000,0,5000,0,326
11001,206,634064,1903903,240000,24000,29630,0,0,0,0,0,27
11001,207,210610,632399,60000,8000,0,0,0,0,0,0,9
11001,210,18033,54148,10000,0,0,0,0,0,0,0,1
11001,211,43435878,130424918,11023400,2455111,5405225,0,36680,0,2500,0,1775
11001,212,510276,1532205,40000,8000,13682,0,0,0,0,0,25
11001,234,498680,1497388,310000,64000,18434,0,0,0,2500,0,34
11001,241,353636,1061868,0,0,0,0,0,0,0,0,124
11001,278,684963,2056740,110000,16000,0,0,0,0,0,0,18
11001,290,2,6,0,0,0,0,0,0,0,0,1
11001,295,43210,129746,20000,8000,0,0,0,0,0,0,2
11001,299,1453577,4364657,1090200,127248,71712,0,2000,0,0,0,284
11001,314,1592869,4782907,0,0,0,0,0,0,0,0,27
11001,315,2043723,6136686,0,0,0,0,0,0,0,0,19
11001,397,34933,104893,0,0,0,0,0,0,0,0,1
11001,399,114108,342628,0,0,0,0,0,0,0,0,28
11001,490,4142,12438,0,0,0,0,0,0,0,0,4
11001,497,9971,29939,0,0,0,0,0,0,0,0,3
11001,517,1277687,3836510,0,0,0,0,0,0,0,0,28
11001,522,657287,1973636,10000,0,0,0,0,0,0,0,11
11001,523,568234,1706237,0,0,0,0,0,0,0,0,6
11001,526,30449,91429,0,0,0,0,0,0,0,0,1
11001,532,67375,202307,0,0,0,0,0,0,0,0,1
11001,580,96282,289105,0,0,0,0,0,0,0,0,9
11001,590,248725,746845,0,0,0,0,0,0,0,0,14
11001,592,191255,574281,0,0,0,0,0,0,0,0,3
11001,593,88173,264757,0,0,0,0,0,0,0,0,3
11001,597,2486593,7466494,0,0,0,0,0,0,0,0,5
11001,599,41977,126044,0,0,0,0,0,0,0,0,5
11002,0,0,0,0,0,0,0,0,0,0,0,235
11002,100,101688,305337,0,0,0,0,0,0,0,0,19
11002,200,5594,16797,0,0,0,0,0,0,0,0,2
