keypin,pin,pins_per_keypin,needs_keypin
02121001170000,02121001170000,1,0
02121001210000,02121001210000,2,0
02121001220000,02121001220000,2,0
02121001220000,02121001230000,2,0
02121001240000,02121001240000,1,0
02121001250000,02121001250000,1,0
02121001210000,02121001260000,2,0
02121010080000,02121010070000,3,0
02121010080000,02121010080000,3,0
02121010080000,02121010090000,3,0
02121010110000,02121010110000,1,0
02121010270000,02121010270000,1,0
02121010280000,02121010280000,1,0
02121010390000,02121010390000,1,0
02121010410000,02121010410000,1,0
02121010420000,02121010420000,1,0
02121010460000,02121010460000,1,0
02121010470000,02121010470000,1,0
02121010480000,02121010480000,1,0
02121010490000,02121010490000,1,0
02121010500000,02121010500000,3,0
02121010500000,02121010510000,3,0
02121010520000,02121010520000,1,0
02121010540000,02121010540000,1,0
02121010500000,02121010550000,3,0
02121030010000,02121030010000,1,0
02122000130000,02122000130000,1,0
02122000930000,02122000930000,1,0
02122000990000,02122000990000,1,0
02122001000000,02122001000000,1,1
02122001050000,02122001050000,1,0
02122001060000,02122001060000,1,0
02122001070000,02122001070000,1,0
02122120030000,02122120030000,1,0
02122120080000,02122120080000,1,0
02122120090000,02122120090000,1,0
02124010110000,02124010110000,1,1
02124020010000,02124020010000,1,1
02124020030000,02124020030000,1,1
02124020040000,02124020040000,1,1
02124020140000,02124020140000,1,0
02124020160000,02124020160000,1,0
02124020170000,02124020170000,1,1
02134080510000,02134080510000,1,1
02141000110000,02141000110000,1,0
02141000120000,02141000120000,2,0
02141000120000,02141000130000,2,0
02141000140000,02141000140000,1,0
02141000150000,02141000150000,1,0
02141000160000,02141000160000,1,0
02141000640000,02141000640000,1,0
02141000650000,02141000650000,1,0
02141000670000,02141000670000,1,0
02141000680000,02141000680000,1,0
02141000690000,02141000690000,1,0
02141000710000,02141000710000,1,0
02141000720000,02141000720000,1,0
02141000750000,02141000740000,2,0
02141000750000,02141000750000,2,0
02141000840000,02141000840000,1,0
02141000850000,02141000850000,1,0
02141000860000,02141000860000,1,0
02141000870000,02141000870000,1,0
02141010090000,02141010090000,3,0
02141010220000,02141010220000,1,0
02141010230000,02141010230000,1,0
02141010240000,02141010240000,1,0
02141010090000,02141010250000,3,0
02141010090000,02141010270000,3,0
02141010290000,02141010290000,1,0
02142000120000,02142000120000,1,0
02142000140000,02142000140000,1,0
02142000160000,02142000160000,1,0
02143080180000,02143080180000,2,0
02143080180000,02143080190000,2,0
02143080200000,02143080200000,1,1
02143080210000,02143080210000,2,0
02143080210000,02143080220000,2,0
02143080230000,02143080230000,1,1
02143080240000,02143080240000,1,0
02143080360000,02143080360000,4,0
02143080360000,02143080370000,4,0
02143080360000,02143080380000,4,0
02143080360000,02143080390000,4,0
02143080400000,02143080400000,2,0
02143080400000,02143080430000,2,0
02143080451001,02143080451001,1,1
02143080451002,02143080451002,1,1
02143080451003,02143080451003,1,1
02143080451004,02143080451004,1,1
02143080451005,02143080451005,1,1
02143170328006,02143170328006,1,0
02143170328008,02143170328008,1,0
02143190050000,02143190050000,2,0
02143190050000,02143190060000,2,0
02143190250000,02143190250000,1,0
02143200030000,02143200010000,8,0
02143200030000,02143200020000,8,0
02143200030000,02143200030000,8,0
02143200030000,02143200040000,8,0
02143200030000,02143200050000,8,0
02143200030000,02143200060000,8,0
02143200030000,02143200070000,8,0
02143200030000,02143200080000,8,0
02143230110000,02143230070000,3,0
02143230110000,02143230080000,3,0
02143230110000,02143230110000,3,0
02143270070000,02143270070000,1,1
02143270110000,02143270110000,1,0
02143290460000,02143290460000,1,0
02144000610000,02144000610000,1,0
02144020010000,02144020010000,1,0
02144020020000,02144020020000,2,0
02144020020000,02144020030000,2,0
02144020040000,02144020040000,2,0
